"logFC","logCPM","F","PValue","Gene","padj","abs_logFC"
1.4205354026953,1.89996321352587,190.534032764339,1.9197533467661e-11,"ENSG00000168398.7",1.19331334770162e-09,1.4205354026953
1.41758761073114,3.38238012337754,569.333278389445,9.01987500233445e-16,"ENSG00000213160.10",2.27427890551819e-13,1.41758761073114
1.40958791757941,-2.29580015441535,9.35843311368453,0.00638272000564031,"ENSG00000227083.1",0.0221098013817672,1.40958791757941
1.4048828344704,-0.423034044287499,39.0667302632527,4.97440787376711e-06,"ENSG00000115596.4",5.3548917472146e-05,1.4048828344704
1.40290847535478,-1.92067779175253,15.7330676194902,0.00080848995510863,"ENSG00000273010.1",0.00391666486428651,1.40290847535478
1.40173465005321,5.7281165299618,1376.06717854146,2.18976009170509e-19,"ENSG00000108932.12",1.35176155730016e-16,1.40173465005321
1.3997790659401,0.928267215851925,101.552895735119,4.04609837869737e-09,"ENSG00000270562.1",1.17969467712444e-07,1.3997790659401
1.39846386159095,4.9165797480066,1010.46296295916,4.09727116614152e-18,"ENSG00000120129.6",1.98241482206123e-15,1.39846386159095
1.39724235924085,-1.68430719227583,19.1789647218679,0.00031324391619265,"ENSG00000150510.17",0.00178645829489672,1.39724235924085
1.38854743419038,-1.80341369518948,18.6088141041217,0.000364062959345855,"ENSG00000265112.1",0.00202846408285387,1.38854743419038
1.38004552712589,-1.41088155899032,16.4346056219587,0.000661222619112184,"ENSG00000101180.16",0.00331506749034516,1.38004552712589
1.37464535566729,-2.1171612967156,8.03679485901912,0.0104879638445785,"ENSG00000243708.11",0.0333550415252521,1.37464535566729
1.36994035198999,-0.0786953779334259,44.1327571991925,2.19277727727248e-06,"ENSG00000225684.4",2.67493593356105e-05,1.36994035198999
1.36949156993358,4.02212221622545,632.743828736414,3.36140003002836e-16,"ENSG00000064547.14",1.00292972229279e-13,1.36949156993358
1.36881272447416,-0.843152985811296,30.8092376763113,2.24542846086412e-05,"ENSG00000183696.14",0.000191508624613576,1.36881272447416
1.36777712055237,-0.310720873679502,43.3653006158791,2.47153260977766e-06,"ENSG00000188916.9",2.9615379370977e-05,1.36777712055237
1.36482523351414,-2.08930863983902,12.7056390508002,0.00203342455843762,"ENSG00000245148.2",0.00846173092634829,1.36482523351414
1.3646728000787,3.93719134140359,162.122032913364,7.85476069417277e-11,"ENSG00000115541.11",4.08767226590351e-09,1.3646728000787
1.36458916284698,-2.17431397917974,8.45001921468904,0.00895132311928762,"ENSG00000234509.1",0.0291728721065878,1.36458916284698
1.36256085242866,-2.07552438105908,7.9040353304519,0.0110427023705207,"ENSG00000244405.8",0.0347917032448188,1.36256085242866
1.36212122905017,-1.68463001557871,18.9333707625402,0.00033410194796936,"ENSG00000272768.1",0.0018915537863844,1.36212122905017
1.3614627448394,2.35679509533242,223.829257310762,4.61667716742062e-12,"ENSG00000162616.9",3.57782487667376e-10,1.3614627448394
1.3558522402612,2.98827618262701,208.469306097031,8.6800892807519e-12,"ENSG00000198576.4",6.03537963363724e-10,1.3558522402612
1.34915862378436,2.59544113675924,210.521868223463,7.95840331909578e-12,"ENSG00000185022.12",5.64746264614873e-10,1.34915862378436
1.34350160103332,0.239513941302834,54.8440475036032,4.74502553294155e-07,"ENSG00000087494.16",7.24577730783059e-06,1.34350160103332
1.34065132943501,-2.57475952328579,8.0621538405209,0.0103855895353477,"ENSG00000236772.1",0.0331236101660065,1.34065132943501
1.33875044789756,4.84805911019889,263.553433496481,1.06850961257049e-12,"ENSG00000140403.12",9.96273910637336e-11,1.33875044789756
1.33843733177612,0.769797517930346,64.6838516414955,1.40262884392805e-07,"ENSG00000168874.13",2.53123604475806e-06,1.33843733177612
1.32789679830052,-2.49991121283646,8.72385697938273,0.00807222937929287,"ENSG00000270001.1",0.0268304957943002,1.32789679830052
1.32487874796275,0.181011469511631,52.0571284035213,6.90620890032241e-07,"ENSG00000184371.14",9.88494581527758e-06,1.32487874796275
1.32413861781343,1.49686192722901,116.140793367555,1.33729119268034e-09,"ENSG00000241839.10",4.56873796400065e-08,1.32413861781343
1.32162864437557,-1.360256308088,18.2930991090584,0.00039608764519413,"ENSG00000142910.16",0.0021811015146925,1.32162864437557
1.31028457210415,0.98323958584746,105.740558428894,2.90576360976936e-09,"ENSG00000179431.7",8.99982355399501e-08,1.31028457210415
1.30702035524535,2.00119314074584,132.981241723389,4.28832957874195e-10,"ENSG00000188833.10",1.73687050042168e-08,1.30702035524535
1.29778744255294,-0.126500324696288,28.0716589922862,3.92101989532311e-05,"ENSG00000171227.7",0.000304002157497074,1.29778744255294
1.29360821735744,0.314090230552778,48.3326775624907,1.16827920481565e-06,"ENSG00000162975.5",1.55614094677155e-05,1.29360821735744
1.29344641607544,6.16965065026688,550.599109122212,1.23236575218055e-15,"ENSG00000261150.3",2.98132590480219e-13,1.29344641607544
1.29302950847552,-2.29585196603884,8.25275531587239,0.00965096877479211,"ENSG00000243020.1",0.0311244177637053,1.29302950847552
1.28149469774324,1.41235294024493,119.037803149248,1.08890520193203e-09,"ENSG00000287566.1",3.79991830896438e-08,1.28149469774324
1.28037605309023,7.05494301779447,1385.67937622717,2.04954200862754e-19,"ENSG00000166886.13",1.31038932280179e-16,1.28037605309023
1.27960762452725,-0.191617176065192,41.6629875916807,3.24057234869719e-06,"ENSG00000205018.2",3.71638220284287e-05,1.27960762452725
1.27861762021142,-2.07572212238233,10.814592905007,0.00381011160975026,"ENSG00000181378.14",0.0143930403118272,1.27861762021142
1.27739558420709,7.70483523816305,1746.92493346451,2.25834834381184e-20,"ENSG00000075426.12",1.92518819290093e-17,1.27739558420709
1.27647891265415,-1.75912835186893,9.38698833762407,0.0063165720053284,"ENSG00000177855.8",0.0219358432666128,1.27647891265415
1.2758094549034,-2.15982416714511,9.12011754716195,0.00696594713220344,"ENSG00000254317.1",0.0237803938902948,1.2758094549034
1.27356574641866,7.38985770382926,361.134114675215,6.09643447016453e-14,"ENSG00000086061.16",7.90857752789024e-12,1.27356574641866
1.26772805175578,-1.19603464793116,21.5853300553075,0.000170346491569152,"ENSG00000105717.14",0.00107114256834245,1.26772805175578
